component_id,n_nodes,n_edges,total_length_km,n_anchored_grid_cells,calibrated_population,n_districts,districts,bbox_extent_km2,node_rank,component_class
287,3,4,0.04,0,0.0,0,,,493,QUESTIONABLE_FRAGMENT
395,3,4,0.29,1,884.9,1,Pendik,0.25,494,SMALL_LOCAL_COMPONENT
701,3,4,0.06,0,0.0,0,,,495,QUESTIONABLE_FRAGMENT
372,3,4,0.04,0,0.0,0,,,496,QUESTIONABLE_FRAGMENT
469,3,4,0.04,0,0.0,0,,,497,QUESTIONABLE_FRAGMENT
373,3,4,0.03,0,0.0,0,,,498,QUESTIONABLE_FRAGMENT
465,3,4,0.05,1,3.5,1,Çatalca,0.25,499,SMALL_LOCAL_COMPONENT
327,3,4,0.46,0,0.0,0,,,500,QUESTIONABLE_FRAGMENT
463,3,4,0.04,1,0.0,1,Arnavutköy,0.25,501,QUESTIONABLE_FRAGMENT
328,3,4,0.08,0,0.0,0,,,502,QUESTIONABLE_FRAGMENT
330,3,4,0.04,1,437.1,1,Sancaktepe,0.25,503,SMALL_LOCAL_COMPONENT
331,3,4,0.04,0,0.0,0,,,504,QUESTIONABLE_FRAGMENT
412,3,4,0.05,0,0.0,0,,,505,QUESTIONABLE_FRAGMENT
335,3,4,0.05,1,801.4,1,Beykoz,0.25,506,SMALL_LOCAL_COMPONENT
337,3,4,0.05,0,0.0,0,,,507,QUESTIONABLE_FRAGMENT
431,3,4,0.05,0,0.0,0,,,508,QUESTIONABLE_FRAGMENT
415,3,4,0.04,0,0.0,0,,,509,QUESTIONABLE_FRAGMENT
323,3,4,0.07,0,0.0,0,,,510,QUESTIONABLE_FRAGMENT
371,3,4,0.04,1,0.0,1,Beykoz,0.25,511,QUESTIONABLE_FRAGMENT
338,3,4,0.04,0,0.0,0,,,512,QUESTIONABLE_FRAGMENT
344,3,4,0.21,1,4475.0,1,Kartal,0.25,513,SMALL_LOCAL_COMPONENT
447,3,4,0.04,0,0.0,0,,,514,QUESTIONABLE_FRAGMENT
445,3,4,0.05,0,0.0,0,,,515,QUESTIONABLE_FRAGMENT
444,3,4,0.04,2,0.0,1,Çatalca,0.5,516,QUESTIONABLE_FRAGMENT
370,3,4,0.04,0,0.0,0,,,517,QUESTIONABLE_FRAGMENT
420,3,4,0.04,0,0.0,0,,,518,QUESTIONABLE_FRAGMENT
492,3,4,0.15,0,0.0,0,,,519,QUESTIONABLE_FRAGMENT
426,3,4,0.04,0,0.0,0,,,520,QUESTIONABLE_FRAGMENT
361,3,4,0.05,0,0.0,0,,,521,QUESTIONABLE_FRAGMENT
429,3,4,0.05,0,0.0,0,,,522,QUESTIONABLE_FRAGMENT
374,3,4,0.04,0,0.0,0,,,523,QUESTIONABLE_FRAGMENT
413,3,4,0.05,0,0.0,0,,,524,QUESTIONABLE_FRAGMENT
391,3,4,0.11,0,0.0,0,,,525,QUESTIONABLE_FRAGMENT
390,3,4,0.11,0,0.0,0,,,526,QUESTIONABLE_FRAGMENT
387,3,4,0.08,0,0.0,0,,,527,QUESTIONABLE_FRAGMENT
480,3,4,0.1,0,0.0,0,,,528,QUESTIONABLE_FRAGMENT
307,3,4,0.09,0,0.0,0,,,529,QUESTIONABLE_FRAGMENT
392,3,4,0.11,0,0.0,0,,,530,QUESTIONABLE_FRAGMENT
388,3,4,0.04,0,0.0,0,,,531,QUESTIONABLE_FRAGMENT
384,3,4,0.22,1,1127.3,1,Pendik,0.25,532,SMALL_LOCAL_COMPONENT
393,3,4,0.07,0,0.0,0,,,533,QUESTIONABLE_FRAGMENT
313,3,4,0.08,0,0.0,0,,,534,QUESTIONABLE_FRAGMENT
386,3,4,0.09,0,0.0,0,,,535,QUESTIONABLE_FRAGMENT
308,3,4,0.07,0,0.0,0,,,536,QUESTIONABLE_FRAGMENT
115,2,2,0.1,0,0.0,0,,,537,QUESTIONABLE_FRAGMENT
369,2,2,0.03,0,0.0,0,,,538,QUESTIONABLE_FRAGMENT
633,2,2,0.05,0,0.0,0,,,539,QUESTIONABLE_FRAGMENT
631,2,2,0.0,0,0.0,0,,,540,QUESTIONABLE_FRAGMENT
117,2,2,0.02,0,0.0,0,,,541,QUESTIONABLE_FRAGMENT
46,2,2,0.07,0,0.0,0,,,542,QUESTIONABLE_FRAGMENT
130,2,2,0.07,0,0.0,0,,,543,QUESTIONABLE_FRAGMENT
637,2,2,0.02,0,0.0,0,,,544,QUESTIONABLE_FRAGMENT
638,2,2,0.02,0,0.0,0,,,545,QUESTIONABLE_FRAGMENT
