gap_class,n_cells,pct_cells,population,pct_population
TRANSIT_DATA_UNCERTAIN,16121,72.22,4027075.1,26.06
NO_TRANSIT_ACCESS_GAP,2509,11.24,9587783.0,62.03
FIXED_GUIDEWAY_ACCESS_GAP,2349,10.52,1563475.1,10.12
BOTH_TRANSIT_ACCESS_GAPS,1134,5.08,157543.9,1.02
NETWORK_QUALITY_UNCERTAIN,109,0.49,16307.8,0.11
GENERAL_ACCESS_GAP,100,0.45,103380.6,0.67
