cluster,n_cells,population_density_calibrated_km2,poi_density_km2,poi_entropy,retail_count,leisure_count,distance_to_nearest_metro_m,distance_to_nearest_tram_m,distance_to_nearest_rail_m,distance_to_nearest_ferry_m,distance_to_nearest_metrobus_m,distance_to_nearest_transit_m,transit_stops_within_500m,fixed_guideway_stations_within_1000m,bus_departures_per_day,cycle_infrastructure_density_km_per_km2_ibb_only,protected_cycleway_density_km_per_km2_ibb_only,distance_to_nearest_cycle_infrastructure_m_ibb_only,distance_to_nearest_bicycle_parking_m,distance_to_nearest_micromobility_parking_m,mean_slope_deg,pct_area_slope_3_6deg,pct_area_slope_6_10deg
0,2494,5114.724547770421,20.0,0.8112781244591328,0.0,2.0,5955.7087035442,13807.131516312069,8950.04981041787,7193.335487482551,5561.764691391432,839.3853899337493,0.0,0.0,0.0,0.0,0.0,1176.8019302856078,2298.4997187197805,6546.9037667005605,5.8033924,29.411764705882355,22.058823529411764
1,10101,0.0,0.0,0.0,0.0,0.0,18583.039851375517,26788.435722234866,20927.415288861554,20088.793051053835,16456.67279126914,4355.667888176684,0.0,0.0,0.0,0.0,0.0,5589.239495887263,10278.19311505455,18479.90753426426,7.223336,20.22058823529412,24.91349480968858
2,1503,12029.339625916842,32.0,1.3520301017579528,0.0,2.0,4320.126341747727,15829.870910969696,5736.380834990867,9349.584928716486,2205.964856167035,148.96864192707778,7.0,0.0,134.0,0.0,0.0,1477.9523840895713,1808.43953697195,6727.020599094932,5.0389514,34.19117647058824,20.588235294117645
3,615,20953.810013465794,152.0,2.3037464107788743,13.0,4.0,1078.098772483386,2813.2988727954016,3570.5709934820825,3485.7426542650055,2711.475639737733,433.1263566763792,1.0,1.0,0.0,0.0,0.0,729.4985976344465,1012.2260793490343,2709.6157235445803,4.646687,39.705882352941174,20.3125
4,7609,0.0,0.0,0.0,0.0,0.0,52117.17879861138,59293.42789404533,46447.72880608183,46477.06451745212,44678.89821569306,37356.87706729314,0.0,0.0,0.0,0.0,0.0,20161.95808567436,37850.507588588065,48608.00113524702,6.5166903,20.588235294117645,18.014705882352942
