cluster,n_cells,readiness__balanced_equal_dimensions__T1__uf_sat_mean,readiness__balanced_equal_dimensions__T1__uf_sat_median,readiness__balanced_equal_dimensions__T2__uf_sat_mean,readiness__balanced_equal_dimensions__T2__uf_sat_median,opportunity__balanced_equal_dimensions__demand_sat_mean,opportunity__balanced_equal_dimensions__demand_sat_median,infrastructure_gap__balanced_equal_dimensions_mean,infrastructure_gap__balanced_equal_dimensions_median
0,2494,0.7230962634057816,0.7247478177932714,0.7365815645622286,0.7396382721599695,0.49116668778793704,0.5383918685772653,0.4035923364834968,0.44256529353251894
1,10101,0.48029052187963495,0.4448807525613464,0.5270641387859544,0.4937770844328628,0.13152493506475796,0.0,0.5413181235524968,0.5469951852741902
2,1503,0.7907697441553597,0.7981621876228805,0.7232425778976721,0.7262400760770169,0.5117855450677105,0.5733962281710648,0.4094731985725707,0.444754216096538
3,615,0.8117578494551465,0.8083232518309026,0.7731203954711945,0.7622050299681631,0.5420771656842133,0.6390511812681379,0.3492168281884295,0.4219015439377191
4,7609,0.3531732114125515,0.3428227648455707,0.3795566558309846,0.3700357630214811,0.051713182057251644,0.0,0.758549150692134,0.7487674536203686
