variant_a,variant_b,jaccard_top_decile
opportunity__balanced_equal_dimensions__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.8485
opportunity__balanced_equal_dimensions__demand_tr,opportunity__demand_oriented__demand_sat,0.7466
opportunity__balanced_equal_dimensions__demand_tr,opportunity__demand_oriented__demand_tr,0.803
opportunity__balanced_equal_dimensions__demand_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.6994
opportunity__balanced_equal_dimensions__demand_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.5599
opportunity__balanced_equal_dimensions__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.8485
opportunity__balanced_equal_dimensions__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,1.0
opportunity__demand_oriented__demand_sat,opportunity__demand_oriented__demand_tr,0.8462
opportunity__demand_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.5545
opportunity__demand_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.4342
opportunity__demand_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.8616
opportunity__demand_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.7466
opportunity__demand_oriented__demand_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.5566
opportunity__demand_oriented__demand_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.4406
opportunity__demand_oriented__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.8001
opportunity__demand_oriented__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.803
opportunity__infrastructure_readiness_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.803
opportunity__infrastructure_readiness_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.6293
opportunity__infrastructure_readiness_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.6994
opportunity__infrastructure_readiness_oriented__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.4992
opportunity__infrastructure_readiness_oriented__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.5599
opportunity__first_last_mile_transit_integration_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.8485
