variant_a,variant_b,jaccard_top_decile
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.2002
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.1849
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__demand_oriented__demand_sat,0.2229
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__demand_oriented__demand_tr,0.2182
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.1437
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.1154
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.2002
readiness__balanced_equal_dimensions__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.1849
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T1__uf_sat,0.378
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T1__uf_tr,0.4115
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T2__uf_sat,0.727
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T2__uf_tr,1.0
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.3978
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.4268
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.6169
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.7694
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.2833
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.2863
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.5888
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.6076
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.1478
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.1445
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__demand_oriented__demand_sat,0.1673
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__demand_oriented__demand_tr,0.174
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.1112
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.0984
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.1478
readiness__balanced_equal_dimensions__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.1445
readiness__demand_oriented__T1__uf_sat,readiness__demand_oriented__T1__uf_tr,0.8229
readiness__demand_oriented__T1__uf_sat,readiness__demand_oriented__T2__uf_sat,0.4552
readiness__demand_oriented__T1__uf_sat,readiness__demand_oriented__T2__uf_tr,0.378
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.8671
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.8008
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.4862
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.4191
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.7687
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.7418
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.2054
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.2009
readiness__demand_oriented__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.3347
readiness__demand_oriented__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.299
readiness__demand_oriented__T1__uf_sat,opportunity__demand_oriented__demand_sat,0.3737
readiness__demand_oriented__T1__uf_sat,opportunity__demand_oriented__demand_tr,0.3533
readiness__demand_oriented__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.2293
readiness__demand_oriented__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.1703
readiness__demand_oriented__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.3347
readiness__demand_oriented__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.299
readiness__demand_oriented__T1__uf_tr,readiness__demand_oriented__T2__uf_sat,0.4434
readiness__demand_oriented__T1__uf_tr,readiness__demand_oriented__T2__uf_tr,0.4115
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.761
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.8694
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.4667
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.4462
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.735
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.7432
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.2172
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.2169
readiness__demand_oriented__T1__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.3024
readiness__demand_oriented__T1__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.276
readiness__demand_oriented__T1__uf_tr,opportunity__demand_oriented__demand_sat,0.3399
readiness__demand_oriented__T1__uf_tr,opportunity__demand_oriented__demand_tr,0.3319
readiness__demand_oriented__T1__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.209
readiness__demand_oriented__T1__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.1597
readiness__demand_oriented__T1__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.3024
readiness__demand_oriented__T1__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.276
readiness__demand_oriented__T2__uf_sat,readiness__demand_oriented__T2__uf_tr,0.727
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.4847
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.4696
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.79
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.7098
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.3355
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.3213
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.5347
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.5165
readiness__demand_oriented__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.2002
readiness__demand_oriented__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.1849
readiness__demand_oriented__T2__uf_sat,opportunity__demand_oriented__demand_sat,0.2229
readiness__demand_oriented__T2__uf_sat,opportunity__demand_oriented__demand_tr,0.2182
readiness__demand_oriented__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.1437
readiness__demand_oriented__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.1154
readiness__demand_oriented__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.2002
readiness__demand_oriented__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.1849
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.3978
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.4268
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.6169
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.7694
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.2833
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.2863
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.5888
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.6076
readiness__demand_oriented__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.1478
readiness__demand_oriented__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.1445
readiness__demand_oriented__T2__uf_tr,opportunity__demand_oriented__demand_sat,0.1673
readiness__demand_oriented__T2__uf_tr,opportunity__demand_oriented__demand_tr,0.174
readiness__demand_oriented__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.1112
readiness__demand_oriented__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.0984
readiness__demand_oriented__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.1478
readiness__demand_oriented__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.1445
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.8508
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.5411
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.4628
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.702
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.6739
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.2286
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.2232
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.3013
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.2673
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__demand_oriented__demand_sat,0.3424
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__demand_oriented__demand_tr,0.3264
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.2005
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.1448
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.3013
readiness__infrastructure_readiness_oriented__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.2673
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.517
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.4887
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.6923
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.691
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.2361
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.2354
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.276
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.2524
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__demand_oriented__demand_sat,0.317
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__demand_oriented__demand_tr,0.3112
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.1834
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.1338
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.276
readiness__infrastructure_readiness_oriented__T1__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.2524
readiness__infrastructure_readiness_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.7377
readiness__infrastructure_readiness_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.3628
readiness__infrastructure_readiness_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.3456
readiness__infrastructure_readiness_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.4643
readiness__infrastructure_readiness_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.4444
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.2047
