variant_a,variant_b,spearman_rho,jaccard_top_decile,mean_abs_score_diff,mean_rank_displacement,top_decile_entries_b_not_a,top_decile_exits_a_not_b,differing_factors,n_differing_factors,score_type
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9475,0.3355,0.044,0.0605,1111,1111,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9477,0.3213,0.0437,0.0604,1147,1147,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9343,0.5347,0.0626,0.0731,677,677,scenario,1,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.935,0.5165,0.0621,0.0727,712,712,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9816,0.4847,0.0552,0.0364,775,775,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9807,0.4696,0.0544,0.0369,806,806,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.984,0.79,0.035,0.0316,262,262,scenario,1,readiness
readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9829,0.7098,0.0339,0.0335,379,379,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T1__uf_sat,0.9859,0.378,0.0418,0.0326,1008,1008,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T1__uf_tr,0.9876,0.4115,0.0409,0.0309,931,931,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T2__uf_sat,0.9982,0.727,0.006,0.0081,353,353,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__demand_oriented__T2__uf_tr,1.0,1.0,0.0,0.0,0,0,scenario,1,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9472,0.2833,0.0452,0.0613,1247,1247,"scenario,transit_variant,uf_variant",3,readiness
