cluster,n_cells,pct_complete_15min,mean_categories_accessible_15min,pop_total,EDUCATION_DEFICIT_pct,FOOD_DEFICIT_pct,HEALTHCARE_DEFICIT_pct,MULTI_SERVICE_DEFICIT_pct,NONE_COMPLETE_ACCESS_pct
0,6113,0.46,0.32,66003.85785763271,0.4,0.3,0.7000000000000001,98.2,0.5
1,2914,63.56,6.06,9310604.939819636,3.3000000000000003,6.2,3.5999999999999996,23.3,63.6
2,8621,2.87,0.93,1096987.494911309,0.8999999999999999,1.7999999999999998,0.8999999999999999,93.60000000000001,2.9000000000000004
3,3140,0.67,0.27,38708.30043295195,0.2,0.2,0.1,98.9,0.7000000000000001
4,1534,73.08,6.85,4943260.865018994,2.1,5.8999999999999995,2.4,16.5,73.1
