access_point_id,stop_id,raw_stop_id,stop_name,mode,source_feed,district,in_system_a,in_system_b
iett_509119__bus,iett_509119,509119,RAVZA CADDESİ,bus,iett_gtfs,Sancaktepe,True,False
iett_798079__bus,iett_798079,798079,KASRI ARİFAN B GİRİŞİ,bus,iett_gtfs,Tuzla,True,False
iett_798082__bus,iett_798082,798082,KASRI ARİFAN B GİRİŞİ,bus,iett_gtfs,Tuzla,True,False
iett_461__bus,iett_461,461,TEPEPARK VİLLALARI,bus,iett_gtfs,Tuzla,True,False
iett_460__bus,iett_460,460,TEPEPARK VİLLALARI,bus,iett_gtfs,Tuzla,True,False
iett_681565__bus,iett_681565,681565,ÜMRANİYE METRO ,bus,iett_gtfs,Ümraniye,True,False
iett_799564__bus,iett_799564,799564,KARLITEPE MANZARA,bus,iett_gtfs,Beykoz,True,False
iett_799540__bus,iett_799540,799540,KARLITEPE MANZARA,bus,iett_gtfs,Beykoz,True,False
iett_5249716__bus,iett_5249716,5249716,AĞRI CADDESİ,bus,iett_gtfs,Sultanbeyli,True,False
iett_5249721__bus,iett_5249721,5249721,UZUNDERE,bus,iett_gtfs,Sultanbeyli,True,False
iett_909463__bus,iett_909463,909463,YANYOL CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_909463__metrobus,iett_909463,909463,YANYOL CADDESİ,metrobus,iett_gtfs,Pendik,True,True
iett_5251528__bus,iett_5251528,5251528,YANYOL CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_878766__bus,iett_878766,878766,HASANPAŞA CADDESİ,bus,iett_gtfs,Sultanbeyli,True,False
iett_909611__bus,iett_909611,909611,HASIRCI SOKAK,bus,iett_gtfs,Sultanbeyli,True,False
iett_909612__bus,iett_909612,909612,ŞEHİT MURAT NAİBOĞLU ANADOLU LİSESİ,bus,iett_gtfs,Sultanbeyli,True,False
iett_284863__bus,iett_284863,284863,TEKE MAHALLESİ,bus,iett_gtfs,Şile,True,False
iett_5252722__bus,iett_5252722,5252722,TEKE MAHALLESI,bus,iett_gtfs,Şile,True,False
iett_284864__bus,iett_284864,284864,SİTE YOLU,bus,iett_gtfs,Şile,True,False
iett_909454__bus,iett_909454,909454,KISIKLI MİLLİ İRADE MEYDANI,bus,iett_gtfs,Üsküdar,True,False
iett_5249661__bus,iett_5249661,5249661,TUBA SOKAK,bus,iett_gtfs,Pendik,True,False
iett_909469__bus,iett_909469,909469,TAHİR EKŞİOĞLU KARDEŞLER CAMİİ,bus,iett_gtfs,Pendik,True,False
iett_799067__bus,iett_799067,799067,PARILTI SOKAK,bus,iett_gtfs,Ümraniye,True,False
iett_580383__bus,iett_580383,580383,ATAY CADDESİ,bus,iett_gtfs,Ümraniye,True,False
iett_292580__bus,iett_292580,292580,ŞAHİNKAYA GARAJI,bus,iett_gtfs,Beykoz,True,False
iett_799092__bus,iett_799092,799092,İLİM SARAYI CAMİİ,bus,iett_gtfs,Ümraniye,True,False
iett_292577__bus,iett_292577,292577,SIRMAKEŞ ,bus,iett_gtfs,Beykoz,True,False
iett_292565__bus,iett_292565,292565,ŞEHİT MEHMET ALİ ŞENER CADDESİ,bus,iett_gtfs,Beykoz,True,False
iett_5250850__bus,iett_5250850,5250850,ŞEHİT MEHMET ALİ ŞENER CADDESİ,bus,iett_gtfs,Beykoz,True,False
iett_580028__bus,iett_580028,580028,ÜMRANİYE KAYMAKAMLIĞI,bus,iett_gtfs,Ümraniye,True,False
iett_580028__metrobus,iett_580028,580028,ÜMRANİYE KAYMAKAMLIĞI,metrobus,iett_gtfs,Ümraniye,True,True
iett_292569__bus,iett_292569,292569,KALKANLI CADDESİ GİRİŞİ,bus,iett_gtfs,Beykoz,True,False
iett_909478__bus,iett_909478,909478,KALKANLI CADDESİ GİRİŞİ,bus,iett_gtfs,Beykoz,True,False
iett_292567__bus,iett_292567,292567,TFF MERAL CEMAL ARAS SPOR LİSESİ,bus,iett_gtfs,Beykoz,True,False
iett_292585__bus,iett_292585,292585,KİREMİTDERE CADDESİ,bus,iett_gtfs,Beykoz,True,False
iett_5251384__bus,iett_5251384,5251384,KİREMİTDERE CADDESİ,bus,iett_gtfs,Beykoz,True,False
iett_292564__bus,iett_292564,292564,BAHÇEEVLİ SOKAK,bus,iett_gtfs,Beykoz,True,False
iett_292571__bus,iett_292571,292571,BOZHANE İTFAİYE İSTASYONU,bus,iett_gtfs,Beykoz,True,False
iett_578533__bus,iett_578533,578533,ERGUVAN CADDESİ,bus,iett_gtfs,Ataşehir,True,False
iett_797255__bus,iett_797255,797255,ERGUVAN CADDESİ,bus,iett_gtfs,Ataşehir,True,False
iett_1820__bus,iett_1820,1820,KARTOPU SOKAK,bus,iett_gtfs,Pendik,True,False
iett_909452__bus,iett_909452,909452,EVORA A PARSEL GİRİŞ 1,bus,iett_gtfs,Tuzla,True,False
iett_237__bus,iett_237,237,EVORA A PARSEL GİRİŞ 2,bus,iett_gtfs,Tuzla,True,False
iett_462__bus,iett_462,462,BALLICA CADDESİ,bus,iett_gtfs,Tuzla,True,False
iett_1818__bus,iett_1818,1818,ÇİFTLİK,bus,iett_gtfs,Pendik,True,False
iett_5250061__bus,iett_5250061,5250061,ÇİFTLİK,bus,iett_gtfs,Pendik,True,False
iett_909471__bus,iett_909471,909471,AKYILDIZ CADDESİ,bus,iett_gtfs,Sancaktepe,True,False
iett_909605__bus,iett_909605,909605,AYDINLIK CADDESİ,bus,iett_gtfs,Tuzla,True,False
iett_909601__bus,iett_909601,909601,AYDINLIK CADDESİ,bus,iett_gtfs,Tuzla,True,False
iett_909600__bus,iett_909600,909600,SARMAŞIK EVLERİ,bus,iett_gtfs,Pendik,True,False
