,building_count,mean_building_footprint_m2_valid_only,building_footprint_area_m2,building_coverage_ratio,hospital_count,university_count,school_count,healthcare_count,cafe_count,restaurant_count,bar_pub_count,supermarket_count,retail_count,office_count,tourism_count,leisure_count,total_poi_count,poi_density_km2,poi_category_count,poi_entropy,population_worldpop_raw,population_density_worldpop_raw_km2,population_calibrated,population_density_calibrated_km2,mean_elevation_m,median_elevation_m,min_elevation_m,max_elevation_m,elevation_std_m,elevation_range_m,mean_slope_deg,median_slope_deg,max_slope_deg,slope_std_deg,pct_area_slope_lt_3deg,pct_area_slope_3_6deg,pct_area_slope_6_10deg,pct_area_slope_gt_10deg,metro_station_count,distance_to_nearest_metro_m,tram_station_count,distance_to_nearest_tram_m,rail_station_count,distance_to_nearest_rail_m,ferry_terminal_count,distance_to_nearest_ferry_m,metrobus_station_count,bus_stop_count,distance_to_nearest_metrobus_m,distance_to_nearest_bus_stop_m,total_transit_stop_count,distance_to_nearest_transit_m,transit_stops_within_500m,transit_stops_within_1000m,bus_stops_within_500m,fixed_guideway_stations_within_1000m,number_of_transit_modes_accessible,routes_serving_grid,unique_bus_routes,unique_rail_lines,bus_departures_per_day,bus_departures_peak_hour,cycle_infrastructure_length_km_ibb_only,cycle_infrastructure_density_km_per_km2_ibb_only,protected_cycleway_length_km_ibb_only,protected_cycleway_density_km_per_km2_ibb_only,distance_to_nearest_cycle_infrastructure_m_ibb_only,distance_to_nearest_bicycle_parking_m,bicycle_parking_count,distance_to_nearest_micromobility_parking_m,micromobility_parking_count
building_count,1.0,-0.02452367488956227,0.9837074329071346,0.9834456077285758,0.20952189758512152,0.1163161464215127,0.48168940683600336,0.5039133037039747,0.3890850289910875,0.44025370632390964,0.139939599751112,0.46261357600374653,0.5353113275454704,0.44239385710888157,0.2936570143342378,0.664710850281479,0.7562787628420862,0.75518686597652,0.7557439563777252,0.669886750741597,0.7317111254470904,0.7318542681431912,0.7353412520800175,0.7353510146790913,-0.19945318358829847,-0.19832018225306863,-0.1732753036166143,-0.22603791576186508,-0.17066029073327188,-0.16472453642796472,-0.1798461598353027,-0.18560825526032587,-0.12010268590459665,-0.11508205977015055,0.18952388976877116,0.22955430168374777,-0.029633239494583165,-0.17684091832062762,0.12255085758986758,-0.5193960090632047,0.0943049599433428,-0.4782660187922732,0.07293358086821716,-0.5211601912421611,0.05970632020675343,-0.5181858863764125,0.15329123867293656,0.4177865945028607,-0.5225649712924494,-0.4279860796194948,0.4448287634623269,-0.48467017897298353,0.5314038576265465,0.5622390521060483,0.4750975196423734,0.42754802123578495,0.5254215682577945,0.4439015997955134,0.41725577366957817,0.16696809928887896,0.42193933573589437,0.1142632133042734,0.271147968895597,0.27092070481848285,0.23565776831764465,0.23549748241493765,-0.5701031363377368,-0.5448623977789715,0.13717429361359973,-0.5169718466994598,0.1201394573536477
mean_building_footprint_m2_valid_only,-0.02452367488956227,1.0,0.3478484667314555,0.34254768975388106,0.0787356348980242,0.08716009816437953,0.09928206538435554,0.08034475870784433,0.08607996920154348,0.09533453201616639,0.018691191916456056,0.06504024169733942,0.11911676041278148,0.12311994869582929,0.06480973404695739,0.1272289681341417,0.18239812232763986,0.1777584196410181,0.20470885999910207,0.1850555735736892,0.310901901758481,0.30731016221739776,0.32184210067059194,0.3179303018977166,-0.08002159082797676,-0.08011233594950802,-0.03242756345540453,-0.1187602002205824,-0.1861183287407326,-0.17204137703451672,-0.1900854468058554,-0.19764138202860107,-0.12731715248491998,-0.12455439419430334,0.19333359204330874,0.1518751217489372,-0.0450685579880244,-0.16622274516993993,0.07291275764972185,-0.2517484675909884,-0.0033615142083676585,-0.21299211702601417,0.03460684296881991,-0.33266577762536603,-7.415877815789206e-05,-0.16007636528567054,0.06675836795068081,0.08167837160573951,-0.3053139950250881,-0.17225382016933305,0.09087782928051895,-0.17505273220797313,0.10359971782338023,0.1322673628505512,0.09201709229305205,0.1377601073620129,0.11014971633191284,0.088022899522749,0.08123228519048803,0.06469181928919836,0.08455624928846657,0.033898137180206483,0.11267792303632182,0.11123417573978932,0.1570689813173359,0.1562524740500505,-0.2691390098428158,-0.2763926065599693,0.07426361150916115,-0.2827048293342896,0.04511008753146144
building_footprint_area_m2,0.9837074329071346,0.3478484667314555,1.0,0.9996235551224597,0.21416521701182753,0.12275779621736724,0.4821045517541395,0.5058265857476789,0.3924528833443821,0.4421383828043641,0.14121873449525885,0.4623969377756975,0.5407564048729675,0.4488343372606491,0.2959468330028559,0.6582754942977159,0.7558687513671867,0.7546217553769002,0.7563794823697483,0.6720423083181934,0.7475920062216709,0.7475905276798103,0.7513013152368856,0.7511677521361758,-0.20194682785370302,-0.2007806760074916,-0.17202878920094317,-0.23173610352474802,-0.18584512731373778,-0.1793419427911138,-0.19577802735198468,-0.20147842313962472,-0.13241287261082194,-0.1272910994762719,0.20462689914832988,0.24208547352963997,-0.033986284426384364,-0.19152173434491832,0.12905980607794074,-0.5293088227882579,0.09541291442179428,-0.4882134985688481,0.07382997912914595,-0.5353079050710811,0.05720551608520901,-0.5258169342788095,0.15598234975026026,0.4149327923519063,-0.5348826441626265,-0.4310326275535589,0.44290884992177226,-0.488437876620625,0.5307753422803119,0.5656563597628245,0.4731323260350164,0.43819573853107907,0.5254681683944095,0.44180528508840167,0.41431367709704675,0.17249597689436055,0.41911361378157747,0.11419104121940755,0.2756895108173193,0.27541096766794965,0.24429343251182342,0.2441108404374096,-0.5825347814833152,-0.5541071246188806,0.14225309981786455,-0.5285414226153808,0.12277823091740604
building_coverage_ratio,0.9834456077285758,0.34254768975388106,0.9996235551224597,1.0,0.21374678360212165,0.12284748414561096,0.4804596196996402,0.5050211599000274,0.39530919012606164,0.4442770769725652,0.14326242309153014,0.4615953217608458,0.540667025573961,0.4482552109673377,0.2990778540282395,0.6587739423508103,0.7565163756728154,0.7558568148757464,0.7570770873398646,0.6726265381937205,0.7470744023799573,0.7477679021649447,0.7508140875207426,0.7513793288723598,-0.20573991700217642,-0.20455259972062867,-0.17619434053717106,-0.2352795346486556,-0.18727429373955906,-0.18123376077022688,-0.1951339884634949,-0.20100514687419302,-0.13199239099102827,-0.12638877696707865,0.20420495635280742,0.24064341697610822,-0.035176635584690336,-0.19078250343078865,0.12880998170582394,-0.5297279305153217,0.09582711221339148,-0.48858376503207995,0.07427611648683541,-0.5359190923118557,0.06288436246667903,-0.5271074451957065,0.15541343888462075,0.41358805194100473,-0.5350193550141943,-0.4309153606450662,0.442080838361494,-0.4889585394751478,0.5306182480172457,0.5657542216601926,0.4717883358368644,0.43914157443521695,0.5255107779234136,0.4410477510279172,0.4130095936520097,0.1725838574221194,0.41777691295280467,0.11427364833645402,0.279486225719033,0.27933882012436684,0.246782290089519,0.24667026819192797,-0.5835617028698398,-0.5546756378643773,0.1426382539412955,-0.5288893176925584,0.1243363156809284
hospital_count,0.20952189758512152,0.0787356348980242,0.21416521701182753,0.21374678360212165,1.0,0.10020418167665712,0.24615134476890269,0.34568853605029426,0.26391207474454387,0.27167265625390224,0.11444087432387445,0.2584447128099518,0.2791144281972038,0.26218096939215885,0.16596139014370934,0.21794787941602264,0.25537357250869125,0.2544702827936421,0.26330679016670366,0.31006210959421515,0.19988743203838671,0.19972375680243687,0.20149760722628887,0.20136812470300894,-0.06471174957047941,-0.06404581135359372,-0.054164601374188735,-0.0764849818318255,-0.06560611641712667,-0.059745814298090456,-0.05998490225928665,-0.06082696894372434,-0.03771008463928709,-0.03860030018286364,0.06150178134755666,0.08704395373640153,-0.005652003650823644,-0.05749250369115237,0.08627495046519337,-0.16291466281583694,0.07665035558948656,-0.15524130553960672,0.05539106639419736,-0.1609935453150996,0.015742930903119418,-0.15587969425022793,0.07676893028146568,0.14632410229892828,-0.159105976027837,-0.1225787035774307,0.16368255608599686,-0.14873907762795568,0.17036920113843126,0.17906562886786104,0.13751841307301743,0.2584288489699873,0.17005955762337593,0.1638188687656846,0.14745356153751737,0.11950415082060746,0.14869413362249478,0.03397920211895481,0.08446539280641648,0.08422965801175647,0.07680949131890695,0.07671207879926226,-0.1558458057806899,-0.1674973081599485,0.09938126734798217,-0.16007486830259446,0.15753807474775325
university_count,0.1163161464215127,0.08716009816437953,0.12275779621736724,0.12284748414561096,0.10020418167665712,1.0,0.10310277768359001,0.14176379528624058,0.16541053895017696,0.15029132578984147,0.11973858018492263,0.11463753630791773,0.14620231977586076,0.16529654673986424,0.15027932130358146,0.12811741557913697,0.15033984618153456,0.14991756863505395,0.15624131647250436,0.18106303301934876,0.1141225025911467,0.11420624109943037,0.11496423817011567,0.11505232102457802,-0.0421189468163772,-0.04183219137255707,-0.039477200975665865,-0.04682472588388924,-0.02821702607465135,-0.02009991361686602,-0.020068221713763684,-0.024691328369056784,0.0015027961725258177,0.0021310066398908256,0.030799676022700156,0.03564782455239421,-8.421059472756999e-05,-0.01340992906687409,0.06410243566167666,-0.10166330090781711,0.058208753556950425,-0.09725000786529404,0.011081793335860209,-0.09844403432195967,0.04711879803049686,-0.10356213318836344,0.05495750460882428,0.06973210554855293,-0.09387250153154264,-0.07593759208367484,0.08521709481248338,-0.0916680289659983,0.09556832834936183,0.10725207511368064,0.06719272430255267,0.13616082863882334,0.09927104994076223,0.08481457600314755,0.06984275639440164,0.0778082690701982,0.06997884091676586,0.04716462738486607,0.09520590878035658,0.09485816005735605,0.06799022801609117,0.06783093428611366,-0.0933631288869702,-0.10088362497332874,0.03135779946887181,-0.10134324739799178,0.1313233907734132
school_count,0.48168940683600336,0.09928206538435554,0.4821045517541395,0.4804596196996402,0.24615134476890269,0.10310277768359001,1.0,0.5444898648523202,0.378689157565342,0.4141584580070119,0.16254480974344176,0.5040536442058757,0.5091468325654528,0.43356247663523884,0.2280930303230449,0.507959978428007,0.5721925755468679,0.5689050456569301,0.5842148775157744,0.6635905162561424,0.45791463157716333,0.45663302846047055,0.4595236258158299,0.45818662518189446,-0.10353276404557066,-0.10254295323143932,-0.08234058197607244,-0.12602310759191895,-0.10608507448162897,-0.09649298195314798,-0.10930023395248196,-0.10982266447646784,-0.07909785100905745,-0.07663293427864859,0.11192675381839552,0.1731702215166042,0.008625091168724452,-0.10967438236837466,0.10442401722323372,-0.36276992593925356,0.131352099115028,-0.3336742330450513,0.05834751829210727,-0.3584467453165856,0.02184158103284907,-0.3304234290339962,0.12944415203522913,0.3132466660752752,-0.3666765789387623,-0.2887799802543972,0.3432167246342981,-0.33363414459688306,0.38414575987085586,0.390886065093602,0.3293758857559193,0.40765609412819953,0.37606591528322114,0.3409032929383599,0.31169999213777383,0.1650119307814653,0.31746714493730643,0.09342978666771548,0.1709516112436747,0.17029606537484043,0.16191484461900685,0.16152414691686862,-0.3486216484195788,-0.37265858878565206,0.13248958590422147,-0.3492299043459042,0.14037420770887668
healthcare_count,0.5039133037039747,0.08034475870784433,0.5058265857476789,0.5050211599000274,0.34568853605029426,0.14176379528624058,0.5444898648523202,1.0,0.5188396620602667,0.5454376031108473,0.21919409360099013,0.6324326188609557,0.627806227858818,0.5389635870479259,0.3048457935091965,0.5088062839946637,0.599017448910712,0.596130513052319,0.6117257038426964,0.7126033965285936,0.47587576923386554,0.47528037199524015,0.47821352543057605,0.4776152910553168,-0.12711699232673054,-0.1256475851932174,-0.105763425916045,-0.15229575694170314,-0.12755276329108578,-0.11539478374000511,-0.1239020787432688,-0.12531081998095026,-0.08417243834243159,-0.08060205694979501,0.13100068388749544,0.18948603080250587,8.295213960357008e-05,-0.12305805665685923,0.17594923618600694,-0.3835216803110912,0.1477615723355189,-0.35890545293441783,0.09367291148329386,-0.37687326314707453,0.07027363740180861,-0.35664672501337324,0.16341392162089202,0.32419421658935277,-0.3780850494634611,-0.29223497955519206,0.3702000909779167,-0.346560705518983,0.3970787772696574,0.40567504517312625,0.31719075234939564,0.4971594469779112,0.39253063837222524,0.36811733215167,0.32345125287609233,0.2402208176924946,0.32948004957390464,0.10383256877138887,0.2025887503986646,0.20202148858777744,0.18413791340809194,0.1837859445630732,-0.36846903859191266,-0.3898674802892796,0.15872715755810396,-0.37372464023501994,0.2076381180775278
cafe_count,0.3890850289910875,0.08607996920154348,0.3924528833443821,0.39530919012606164,0.26391207474454387,0.16541053895017696,0.378689157565342,0.5188396620602667,1.0,0.6215826818588509,0.31675028407798234,0.5311435784157559,0.5706058132361214,0.5037540643601309,0.3708436841273828,0.42315185367037345,0.49134605944222587,0.4930924652166049,0.5000998250931578,0.5871926791372065,0.3579654653495589,0.360915870751775,0.3606564097087991,0.36363090846751633,-0.12911972111527698,-0.12781039288422735,-0.11613486589175491,-0.14498728173795852,-0.11627954218157502,-0.1083015751025588,-0.0998444443391845,-0.10420755462006538,-0.06068591432602667,-0.055051689476248354,0.11426340017827696,0.1241991335377766,-0.033857371302627774,-0.08990539675408349,0.16905154223716412,-0.29569057541530713,0.16445605023468235,-0.27705381723955075,0.10511323086896318,-0.2912475200762554,0.13045950312519328,-0.2864015816260143,0.07575667656656024,0.23633057687664613,-0.28231911643887325,-0.2244184666922208,0.28776909483991003,-0.2731806939345663,0.32286283276373307,0.3199735472063441,0.23174307253041887,0.4189890873798952,0.32492036250477,0.2877217261053754,0.23677456676517888,0.24553431742929627,0.23819641752565754,0.09337278025671587,0.2674000453289423,0.2675600460113882,0.22108920800366508,0.2212200747969918,-0.288229558521189,-0.3028551787230985,0.17810322758124797,-0.2892047933630437,0.25524225630297004
restaurant_count,0.44025370632390964,0.09533453201616639,0.4421383828043641,0.4442770769725652,0.27167265625390224,0.15029132578984147,0.4141584580070119,0.5454376031108473,0.6215826818588509,1.0,0.28374103409753954,0.587476000343295,0.6377111635588819,0.5319814986851359,0.3707347244040757,0.4588289392817786,0.5616764315791856,0.5626624065373815,0.5718574638234393,0.6551708091555069,0.4051887181018939,0.40737170981729226,0.4076208041315995,0.4098328744348258,-0.13486686725334987,-0.133544619765518,-0.1195937030115158,-0.15283568233161776,-0.12394864695342724,-0.11547402091164209,-0.11104573761857613,-0.11537547554629098,-0.06858331674407597,-0.06115602031164973,0.12548714147770082,0.1392592694270037,-0.028786296953722413,-0.10178584323460983,0.17190487015711572,-0.3275036320870474,0.1415886933560871,-0.30164513323101805,0.09825777966614833,-0.3213547772445292,0.11216263536534983,-0.3116414760060685,0.09923927907125392,0.2705297572293404,-0.31331578379261177,-0.25498592283286703,0.31745993829900976,-0.3044877247236607,0.3487599346914946,0.35615751558950365,0.2701273458842258,0.42689989126751793,0.34893842226187494,0.31697323568999275,0.27085131118916234,0.23465991515511672,0.27303183760596317,0.09580845283708897,0.23472540039385043,0.2349914383593522,0.19815078741951705,0.1983176670333355,-0.3210697899413761,-0.3383823590917512,0.17632517412795223,-0.3158247577637746,0.23577258052962632
bar_pub_count,0.139939599751112,0.018691191916456056,0.14121873449525885,0.14326242309153014,0.11444087432387445,0.11973858018492263,0.16254480974344176,0.21919409360099013,0.31675028407798234,0.28374103409753954,1.0,0.2194154441807603,0.23471962754107278,0.23337467909263504,0.25677142739055153,0.1591728996897137,0.17823856498608998,0.1788364173863551,0.18080969343808995,0.21012130598289439,0.12625084624792104,0.12784054499632969,0.12893674313433437,0.13061737930910197,-0.07719324193846575,-0.07650970508203422,-0.07800633268849308,-0.07873762551908484,-0.032292015789260456,-0.030134140076410316,-0.02501386990390268,-0.028006595828455102,-0.008409035445241117,-0.003372642705754363,0.0362788643661721,0.04268769497187877,-0.0030125706689229253,-0.020438825325228095,0.11374576229470038,-0.11452187639277527,0.1437861305202636,-0.11354322572688762,0.0882739915907379,-0.11557795473931626,0.1192132088553919,-0.11828612305514925,0.005342054637417033,0.06755117377743941,-0.10395364318655215,-0.08279020707704006,0.10102345250716058,-0.10117238039452071,0.11503713884055362,0.12085768358420851,0.06387343901037144,0.2043000223383493,0.12149282347003887,0.0994936522484852,0.06689611584337504,0.17853660201817162,0.06677682408714311,0.0425052313145406,0.10271677216853965,0.10277625432997546,0.09948207583420876,0.0995586124585309,-0.10521313671795278,-0.11449893668785381,0.06908313278262779,-0.11927931443943374,0.29508434620117446
supermarket_count,0.46261357600374653,0.06504024169733942,0.4623969377756975,0.4615953217608458,0.2584447128099518,0.11463753630791773,0.5040536442058757,0.6324326188609557,0.5311435784157559,0.587476000343295,0.2194154441807603,1.0,0.6548693472528471,0.5356152340676628,0.28026149175765563,0.4767794628380474,0.5581898189624387,0.5557487290519347,0.568550318274988,0.6661494729520061,0.42884519902070084,0.4281531570019423,0.431092216694367,0.43039216172756245,-0.10807938578143074,-0.10708421828854843,-0.08726091577616539,-0.1304606331985189,-0.12677859638281982,-0.11434972067067493,-0.12116799931057053,-0.1214907177543202,-0.08668205055446904,-0.08293968723513655,0.12596303352735638,0.16271607408183172,-0.01119251716435231,-0.11805179101484803,0.16130153800144362,-0.3399905878886122,0.1370891176531351,-0.30530207388486363,0.0813476602683376,-0.3317367266910769,0.05305657888393205,-0.31298116737318826,0.1349907114571039,0.3398046543052475,-0.336393890734095,-0.27857173207161534,0.3745576019749725,-0.3229599291051055,0.3930403694980509,0.38852484383781744,0.32702704503422764,0.43581936980464764,0.38487584298452704,0.37193056890652865,0.3381362201960809,0.21874099243789644,0.33967410924063035,0.09033388730156232,0.1877772551949477,0.18713617846531597,0.17916437240171762,0.17880595957715445,-0.32735461051375936,-0.35339230312426156,0.17489393630188663,-0.3237147435547556,0.19940055121674954
