cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
1,pct_area_slope_3_6deg,20.22058823529412,10.294117647058822,34.92647058823529,24.632352941176467,45.0,5.0
2,pct_area_slope_3_6deg,34.19117647058824,20.588235294117645,44.48529411764706,23.897058823529413,68.1,18.1
3,pct_area_slope_3_6deg,39.705882352941174,30.44982698961938,45.588235294117645,15.138408304498267,76.1,26.1
4,pct_area_slope_3_6deg,20.588235294117645,8.996539792387544,38.60294117647059,29.606401384083043,45.7,4.3
0,pct_area_slope_6_10deg,22.058823529411764,10.87390988372093,33.56401384083045,22.690103957109518,50.4,0.4
1,pct_area_slope_6_10deg,24.91349480968858,11.333333333333332,37.0242214532872,25.690888119953865,56.2,6.2
2,pct_area_slope_6_10deg,20.588235294117645,11.072664359861593,31.25,20.17733564013841,47.5,2.5
3,pct_area_slope_6_10deg,20.3125,11.397058823529411,29.757785467128027,18.360726643598618,46.9,3.1
4,pct_area_slope_6_10deg,18.014705882352942,7.03125,30.88235294117647,23.85110294117647,42.3,7.7
0,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
1,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
2,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
3,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
4,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
0,distance_to_nearest_metro_m,5955.7087035442,1736.2882115985428,12668.540194246913,10932.25198264837,16.6,33.4
1,distance_to_nearest_metro_m,18583.039851375517,11137.626213956366,26709.03672861704,15571.410514660674,41.5,8.5
2,distance_to_nearest_metro_m,4320.126341747727,1307.8693920589994,8342.047930742498,7034.178538683498,13.4,36.6
3,distance_to_nearest_metro_m,1078.098772483386,604.9705628248119,1969.9668358123,1364.996272987488,4.7,45.3
4,distance_to_nearest_metro_m,52117.17879861138,44343.7704826083,59714.83817938371,15371.067696775412,82.9,32.9
0,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
1,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
2,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
3,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
4,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
0,distance_to_nearest_tram_m,13807.131516312069,6380.036647877429,21941.800529956792,15561.763882079364,17.6,32.4
1,distance_to_nearest_tram_m,26788.435722234866,17871.124205421664,34958.71598525827,17087.591779836606,40.1,9.9
