k,silhouette_subsampled,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,min_pct,max_pct,size_ratio_max_to_min,total_spatial_components,mean_largest_component_share_weighted
3,0.2482,10708.2,1.3055,3751,10691,16.8,47.89,2.85,224,0.6278
4,0.2676,10157.0,1.3235,1552,10341,6.95,46.33,6.66,464,0.6417
5,0.2661,8593.1,1.3428,615,10101,2.76,45.25,16.42,608,0.6112
6,0.1787,7603.2,1.5671,606,7260,2.71,32.52,11.98,712,0.608
7,0.1871,6901.4,1.5461,604,5564,2.71,24.93,9.21,907,0.6459
8,0.182,6401.1,1.5882,589,5536,2.64,24.8,9.4,1041,0.6336
9,0.1795,5998.1,1.6026,556,5064,2.49,22.69,9.11,1336,0.5895
10,0.1748,5635.4,1.6319,566,4751,2.54,21.28,8.39,1278,0.5741
