grid_id,district,population_density_calibrated_km2,poi_density_km2,poi_entropy,retail_count,leisure_count,has_buildings,building_coverage_ratio,distance_to_nearest_transit_m,transit_stops_within_500m,bus_departures_per_day,cycle_infrastructure_density_km_per_km2_ibb_only,distance_to_nearest_bicycle_parking_m,distance_to_nearest_micromobility_parking_m,mean_slope_deg,opportunity_pct_top_decile,readiness_pct_top_decile,readiness_consensus_class
GRID_03896,Silivri,1518.8890832937057,8.0,1.0,1,1,1,0.002412926722366408,32239.78923919411,0,0,0.0,31547.344212569493,37913.90215722933,4.433939,100.0,0.0,NEVER_HIGH
GRID_04212,Çatalca,588.6879485261464,12.0,1.584962500721156,0,1,1,0.006841307704583695,36345.571720097556,0,0,0.0,37797.738448760465,44709.930022102446,4.232384,100.0,0.0,NEVER_HIGH
GRID_04439,Çatalca,787.9434882695242,8.0,1.0,1,0,1,0.016602060174340127,48459.39588588675,0,0,0.0,50610.769916860256,55771.234458997125,5.7564006,100.0,0.0,NEVER_HIGH
GRID_04440,Çatalca,740.5037982537143,28.0,1.5566567074628228,3,0,1,0.01828818582973769,48864.23858582529,0,0,0.0,51027.03196021787,56120.86543573213,2.7120132,100.0,0.0,NEVER_HIGH
GRID_04480,Silivri,749.6509432267732,8.0,1.0,1,0,1,0.0005407596768522449,30380.315789175937,0,0,0.0,31250.752274934835,37176.29074021088,7.4465756,100.0,0.0,NEVER_HIGH
GRID_04537,Çatalca,358.6833926150764,18.41852994686722,0.9182958340544896,0,1,1,0.0023341777722656904,48944.76790453689,0,0,0.0,51131.99483718171,56095.21682380637,2.6343977,100.0,0.0,NEVER_HIGH
GRID_04608,Çatalca,152.0030411690972,24.0,1.4591479170272448,3,0,1,0.0005405508276914176,39393.92420973837,0,0,0.0,41253.71988067885,47929.97824934352,5.508973,100.0,0.0,NEVER_HIGH
GRID_05807,Çatalca,770.8516905037496,20.0,1.5219280948873621,2,0,0,0.0,37600.376878602634,0,0,0.0,39830.65690352335,44820.117575034645,2.043506,100.0,0.0,NEVER_HIGH
GRID_06151,Çatalca,700.4446915758558,8.0,1.0,1,0,1,0.0001331985356745613,31158.440635181254,0,0,0.0,33277.11985797612,39035.83805521584,4.704617,100.0,0.0,NEVER_HIGH
GRID_20951,Şile,106.62441998835283,12.0,1.584962500721156,1,1,0,0.0,4703.254229485704,0,0,0.0,23298.92839657106,41626.033583511955,7.4245396,100.0,0.0,NEVER_HIGH
