cluster,building_coverage_ratio_scaled,hospital_count_scaled,university_count_scaled,school_count_scaled,healthcare_count_scaled,cafe_count_scaled,restaurant_count_scaled,bar_pub_count_scaled,supermarket_count_scaled,retail_count_scaled,office_count_scaled,tourism_count_scaled,leisure_count_scaled,poi_density_km2_scaled,poi_entropy_scaled,population_density_calibrated_km2_scaled,mean_elevation_m_scaled,mean_slope_deg_scaled,pct_area_slope_3_6deg_scaled,pct_area_slope_6_10deg_scaled,metro_station_count_scaled,distance_to_nearest_metro_m_scaled,tram_station_count_scaled,distance_to_nearest_tram_m_scaled,rail_station_count_scaled,distance_to_nearest_rail_m_scaled,ferry_terminal_count_scaled,distance_to_nearest_ferry_m_scaled,metrobus_station_count_scaled,distance_to_nearest_metrobus_m_scaled,distance_to_nearest_transit_m_scaled,transit_stops_within_500m_scaled,transit_stops_within_1000m_scaled,fixed_guideway_stations_within_1000m_scaled,unique_rail_lines_scaled,bus_departures_per_day_scaled,bus_departures_peak_hour_scaled,cycle_infrastructure_density_km_per_km2_ibb_only_scaled,protected_cycleway_density_km_per_km2_ibb_only_scaled,distance_to_nearest_cycle_infrastructure_m_ibb_only_scaled,distance_to_nearest_bicycle_parking_m_scaled,bicycle_parking_count_scaled,distance_to_nearest_micromobility_parking_m_scaled,micromobility_parking_count_scaled
0,19.411923347420455,0.04568421231044568,0.023265999189287352,0.24965342170393592,0.2985280575575577,0.18694726124507652,0.2830454670573636,0.018436363840508188,0.21824135912646858,0.440787079762064,0.24233967448509505,0.12642134022402388,1.294887864833374,3.0322263963841074,0.5736649158240166,1.3178771284183284,-0.18471771059915687,-0.09083215692128156,0.3126147616923804,-0.0094218416482609,0.010894258240627824,-0.433629933581093,0.000680891140039239,-0.44835045012846825,0.005447129120313912,-0.5478130628242984,0.001361782280078478,-0.4969732232237343,0.04896298183294508,-0.45848437146105403,-0.106495361710373,0.9167211092395908,1.7586796405459788,0.19771784608502774,0.01781887006897344,1.6038035837752276,0.059568705460225864,0.25456929472110973,0.20690625360786208,-1.1502242374595963,-0.3567303333095317,0.024974882753225507,-0.44067346237903116,0.00924988060450634
1,67.72185479964551,0.11520764362043355,0.03460297105755576,0.6325003109914499,1.2879804401193158,0.7449814946666649,1.0727931471437238,0.14392891646930397,0.8421572795749863,1.9318458338323932,0.7816458962867762,0.47164607841583794,1.1024927065941406,4.3530172313500275,0.9667220781446394,1.517902117790602,-0.1983902757368614,-0.20884201575890912,0.5674644859460921,0.10269878600178584,0.04336482847763701,-0.602955117006036,0.06705826958021903,-0.7674345724846751,0.009600376462049105,-0.7005482986767804,0.00992664525888119,-0.663455852567951,0.03962854536525691,-0.5851039264411547,-0.1922024573635783,0.9668611635689217,1.9511479594411534,0.7854176409407148,0.11506015189046455,1.1700863099520085,0.012756704116310504,0.10927049110630715,0.046571382973204185,-1.1441346783772182,-0.45271798984760264,0.034887624060208865,-0.6060684988384201,0.05919919134371667
2,47.66617023996214,0.09689911360205553,0.03161031900445008,0.5478288680297556,0.9343352747783269,0.5287356996970628,0.8320839666452535,0.06466807368453018,0.7961919916287598,1.5065065545669551,0.6787331011248565,0.25718742495782626,1.2354084976425146,4.074415718050212,0.960345884752819,1.4710836787677875,-0.21741080699003815,-0.20159935705204957,0.48897152046949877,0.00995542565166523,0.031453900630404416,-0.5963163726449617,0.01196668439213717,-0.653034582584416,0.009205141840105515,-0.7013663536302935,0.008737385407715938,-0.6129564531351622,0.05629428360766811,-0.5931288753710579,-0.19817267767917368,1.2556799133516483,2.256980641530981,0.5162919352430326,0.055474476631833296,2.1331919483689235,0.06609914748127807,0.16545896704029847,0.10280158833286115,-1.1934877662522332,-0.45773327933333047,0.039894946660545036,-0.572815915210755,0.051266337787525235
3,32.42963968956151,0.07603043970168531,0.02371607643580097,0.43553444355183796,0.5741330478241683,0.3930494851997552,0.5430524226768183,0.030622299421046113,0.47229737372058855,0.9742211941506996,0.4315535447254286,0.21557443977008006,1.364092372936277,3.615602286485422,0.8000506018721519,1.402370635280279,-0.25917051031898863,-0.1717403556198927,0.4227575999908234,-0.04752706971267828,0.028281260940037713,-0.5290754174372373,0.005771125545584832,-0.5446011450956879,0.008369504924434027,-0.6609374397972543,0.009575445965782118,-0.5767938062525553,0.05847335830320259,-0.5553653153625806,-0.17406073107720732,1.2403995095029414,2.227350504457783,0.3630890369161926,0.04299625819794302,2.1421218911296416,0.045480990808304096,0.22000812217377674,0.153704112242405,-1.223370737136443,-0.4269166150820206,0.040842955776402456,-0.5163969908230893,0.031957530292972006
4,0.09377016307810414,0.0002710429538164541,0.0,0.0009938241639936651,0.0006852835469275002,0.0014762670698998817,0.0031025247927986064,0.0,0.0011745194665379677,0.004231134380088744,0.0013996525411065918,0.005497620700192731,0.010596353132047145,0.050641756213157224,0.005122507121133257,0.07849440263433258,0.39800246087192603,0.18732292581477863,0.07663493270169466,-0.06911955426632575,0.0,0.7840796219193334,0.0,0.7406957762618718,0.0,0.7630686366429514,0.0,0.7485306024241364,0.0,0.814841498958203,0.9850615328691474,0.01671256475189666,0.056502316404013375,0.0,0.0,0.01176402449414585,0.0,0.0,0.0,0.510454899040674,0.9181565771087865,0.0,0.8061900837642402,0.0
5,8.136657207821141,0.011649190485503428,0.0071196335494051605,0.1200291057855208,0.1088440140175942,0.07091236171102142,0.11402940270779233,0.0036462313276419667,0.07629338601917077,0.1799325882223242,0.09666514626635937,0.09341443522647574,0.7807868513986804,2.0358868309111933,0.3018797140180991,1.1344274201569067,-0.17564326378215117,0.005877431104892908,0.20444233972418738,0.00757041317945286,0.0035598167747025802,-0.3092634653008773,0.00101709050705788,-0.3219515296964583,0.0035598167747025802,-0.37885152969869007,0.0023316609173499236,-0.3792184770449619,0.012611556959552449,-0.3087614994756029,-0.03164871932551147,0.5895843840578189,1.220242804618527,0.10025247306127522,0.008731683862931367,0.9185501780833752,0.02563000925201069,0.1589143108839872,0.11500287976460967,-0.8870300364784048,-0.2518059639014885,0.0066975028488156065,-0.31300718276424727,0.0033487514244078032
6,0.25361467667493576,0.0005959384256555042,0.00013532744641935675,0.007208170761392202,0.006571246748647523,0.004302505466298762,0.009050139187294757,0.00013532744641935675,0.00422964411379205,0.010715104590053447,0.004757140978513434,0.014648865151764778,0.08032429145258135,0.24410867808560308,0.018336265923483877,0.3701020690887313,-0.041289535052523606,0.19320994873683184,0.04524897127448328,0.12830356402021156,0.0,-0.15268601036690022,6.766372320967837e-05,-0.1812579112372343,6.766372320967837e-05,-0.16064919283591367,0.00020299116962903512,-0.17591581870056738,0.00017490818715619436,-0.15371477290375965,0.06360795753794085,0.1029995690811295,0.33128334347035443,0.007690564594134227,0.00013532744641935675,0.11014678728544655,0.0009104375367303389,0.02361037149197489,0.017272712136573158,-0.2543908272682253,-0.10468738180583616,0.0002706548928387135,-0.1499604605650442,0.0
