cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
3,poi_density_km2,44.0,20.0,91.94381648412924,71.94381648412924,92.4,42.4
4,poi_density_km2,0.0,0.0,0.0,0.0,38.6,11.4
5,poi_density_km2,8.0,0.0,24.0,24.0,82.8,32.8
6,poi_density_km2,0.0,0.0,0.0,0.0,38.6,11.4
0,poi_entropy,0.9219280948873623,0.0,1.6577427265048887,1.6577427265048887,88.1,38.1
1,poi_entropy,1.9255649733135831,1.4591479170272448,2.3037464107788743,0.8445984937516295,94.7,44.7
2,poi_entropy,1.9392871499901392,1.3709505944546687,2.3522674499096716,0.9813168554550029,94.7,44.7
3,poi_entropy,1.6627992560224794,0.7219280948873623,2.21081463334311,1.4888865384557477,92.9,42.9
4,poi_entropy,0.0,0.0,0.0,0.0,42.8,7.2
5,poi_entropy,0.0,-0.0,1.0,1.0,42.8,7.2
6,poi_entropy,0.0,0.0,0.0,0.0,42.8,7.2
0,population_density_calibrated_km2,7752.288660441842,3150.964751862156,14491.176785525811,11340.212033663654,88.4,38.4
1,population_density_calibrated_km2,26778.410354032,18014.77945142803,36340.73240148924,18325.952950061208,97.3,47.3
2,population_density_calibrated_km2,19320.612671267198,13281.373707631286,26858.807243072166,13577.43353544088,94.8,44.8
3,population_density_calibrated_km2,12683.0023270693,7092.643961361156,20544.865386012392,13452.221424651238,91.6,41.6
4,population_density_calibrated_km2,0.0,0.0,0.0,0.0,28.3,21.7
5,population_density_calibrated_km2,2657.6959300073268,939.4755816003913,6653.634840205561,5714.15925860517,82.1,32.1
6,population_density_calibrated_km2,0.0,0.0,208.14807876154435,208.14807876154435,28.3,21.7
0,mean_elevation_m,84.40608978271484,35.553964614868164,128.7816276550293,93.22766304016113,38.4,11.6
1,mean_elevation_m,84.75493621826172,53.999202728271484,117.2878189086914,63.28861618041992,38.7,11.3
2,mean_elevation_m,80.41316986083984,41.996055603027344,121.6858901977539,79.68983459472656,36.3,13.7
3,mean_elevation_m,74.53910827636719,36.15417289733887,117.27861785888672,81.12444496154785,33.1,16.9
4,mean_elevation_m,148.66632080078125,78.13686561584473,203.031982421875,124.89511680603027,70.7,20.7
5,mean_elevation_m,82.02413177490234,39.17722702026367,126.93460464477539,87.75737762451172,37.2,12.8
6,mean_elevation_m,99.08381652832031,57.506460189819336,139.25417709350586,81.74771690368652,46.2,3.8
0,mean_slope_deg,5.231269836425781,3.536875069141388,7.7304840087890625,4.193608939647675,37.8,12.2
1,mean_slope_deg,4.9322099685668945,3.956888437271118,6.068993091583252,2.112104654312134,34.5,15.5
